userId,age,ageGroup,gender,occupation,city,state,movieTitle,genres,cast,director,rating,likeDislike,timestamp
269,31,25-34,F,librarian,Columbus,Ohio,Sabrina (1995),Comedy|Romance,Julia Ormond|Harrison Ford|Nancy Marchand|Greg Kinnear,Sydney Pollack,1,dislike,1998-04-01 17:15:01
22,25,25-34,M,writer,Saint matthews,Kentucky,Die Hard: With a Vengeance (1995),Action|Thriller,Bruce Willis|Samuel L. Jackson|Jeremy Irons|Graham Greene,John McTiernan,5,like,1997-11-07 07:36:24
459,22,18-24,M,student,Columbia,South carolina,French Twist (Gazon maudit) (1995),Comedy|Romance,Ticky Holgado|Alain Chabat|Josiane Balasko|Victoria Abril,Josiane Balasko,2,dislike,1997-11-15 03:02:19
393,19,18-24,M,student,Nampa,Idaho,Ace Ventura: When Nature Calls (1995),Comedy,Jim Carrey|Ian McNeice|Simon Callow|Maynard Eziashi,Steve Oedekerk,2,dislike,1998-03-12 19:32:19
332,20,18-24,M,student,Lexington,Kentucky,Waterworld (1995),Action|Adventure,Kevin Costner|R.D. Call|Rick Aviles|Chaim Jeraffi,Kevin Reynolds,3,dislike,1998-02-24 22:47:40
796,32,25-34,F,writer,Saint petersburg,Florida,"American President, The (1995)",Comedy|Drama|Romance,Martin Sheen|Michael J. Fox|Michael Douglas|Annette Bening,Rob Reiner,5,like,1998-04-16 21:19:04
42,30,25-34,M,administrator,Selinsgrove,Pennsylvania,Star Trek: Generations (1994),Action|Adventure|Sci-Fi,Patrick Stewart|Brent Spiner|Jonathan Frakes|LeVar Burton,David Carson,4,like,1997-12-03 00:22:28
75,24,18-24,M,entertainment,East brunswick,New jersey,Father of the Bride Part II (1995),Comedy,Steve Martin|Kimberly Williams-Paisley|Diane Keaton|Martin Short,Charles Shyer,2,dislike,1998-01-06 01:31:49
474,51,45-54,M,executive,Fresno,California,Dead Man Walking (1995),Drama,Susan Sarandon|Raymond J. Barry|Robert Prosky|Sean Penn,Tim Robbins,5,like,1998-02-19 19:23:23
435,24,18-24,M,engineer,Elk grove villag,Illinois,"Net, The (1995)",Sci-Fi|Thriller,Sandra Bullock|Diane Baker|Jeremy Northam|Dennis Miller,Irwin Winkler,2,dislike,1998-01-07 00:38:29
897,30,25-34,M,other,Delray beach,Florida,Screamers (1995),Sci-Fi,Peter Weller|Andrew Lauer|Jennifer Rubin|Roy Dupuis,Christian Duguay,5,like,1997-11-20 02:40:09
119,32,25-34,M,programmer,Bavaria,Kansas,Apollo 13 (1995),Action|Drama|Thriller,Bill Paxton|Kevin Bacon|Tom Hanks|Gary Sinise,Ron Howard,5,like,1997-09-20 19:00:22
541,19,18-24,F,student,Brigham city,Utah,"Santa Clause, The (1994)",Children|Comedy,Tim Allen|Wendy Crewson|Judge Reinhold|Eric Lloyd,John Pasquin,3,dislike,1998-01-03 22:20:49
102,38,35-44,M,programmer,Grantville,Georgia,Stargate (1994),Action|Adventure|Sci-Fi,Kurt Russell|Jaye Davidson|James Spader|Viveca Lindfors,Roland Emmerich,3,dislike,1998-03-02 01:23:32
401,46,45-54,F,healthcare,Murray,Utah,Dolores Claiborne (1994),Drama|Thriller,Kathy Bates|Judy Parfitt|Christopher Plummer|Jennifer Jason Leigh,Taylor Hackford,4,like,1998-03-27 21:07:48
104,27,25-34,M,student,Lauderdale,Minnesota,Richard III (1995),Drama|War,Ian McKellen|Jim Broadbent|Annette Bening|Robert Downey Jr.,Richard Loncraine,2,dislike,1998-02-26 03:56:53
522,36,35-44,M,engineer,Brooklyn center,Minnesota,Hoop Dreams (1994),Documentary,Dick Vitale|Steve James|Arthur Agee|William Gates,Steve James,4,like,1997-10-16 00:17:00
936,24,18-24,M,other,Winter park,Florida,"Birdcage, The (1996)",Comedy,Nathan Lane|Dianne Wiest|Robin Williams|Gene Hackman,Mike Nichols,4,like,1998-02-07 06:33:51
44,26,25-34,M,technician,Nora,Indiana,"Shawshank Redemption, The (1994)",Drama,Tim Robbins|William Sadler|Bob Gunton|Morgan Freeman,Frank Darabont,5,like,1997-11-01 01:31:55
77,30,25-34,M,technician,Union,South carolina,Apollo 13 (1995),Action|Drama|Thriller,Bill Paxton|Kevin Bacon|Tom Hanks|Gary Sinise,Ron Howard,5,like,1998-01-14 04:44:21
846,27,25-34,M,lawyer,Jeffersonville,Indiana,Clerks (1994),Comedy,Jason Mewes|Brian O'Halloran|Jeff Anderson|Marilyn Ghigliotti,Kevin Smith,5,like,1998-01-04 21:16:46
936,24,18-24,M,other,Winter park,Florida,City Hall (1996),Drama|Thriller,Al Pacino|John Cusack|Bridget Fonda|Danny Aiello,Harold Becker,2,dislike,1998-02-07 06:33:11
55,37,35-44,M,programmer,New salem,Massachusetts,Pulp Fiction (1994),Crime|Drama,Tim Roth|John Travolta|Laura Lovelace|Samuel L. Jackson,Quentin Tarantino,4,like,1997-10-30 01:53:17
110,19,18-24,M,student,College station,Texas,Die Hard: With a Vengeance (1995),Action|Thriller,Bruce Willis|Samuel L. Jackson|Jeremy Irons|Graham Greene,John McTiernan,3,dislike,1998-02-09 01:44:24
109,29,25-34,M,other,Richfield,Minnesota,"Usual Suspects, The (1995)",Crime|Thriller,Gabriel Byrne|Stephen Baldwin|Benicio Del Toro|Kevin Pollak,Bryan Singer,4,like,1997-11-26 20:52:22
234,60,55-64,M,retired,Berkeley,California,Dead Man Walking (1995),Drama,Susan Sarandon|Raymond J. Barry|Robert Prosky|Sean Penn,Tim Robbins,3,dislike,1998-03-30 03:14:49
85,51,45-54,M,educator,Washington,District of columbia,Pulp Fiction (1994),Crime|Drama,Tim Roth|John Travolta|Laura Lovelace|Samuel L. Jackson,Quentin Tarantino,4,like,1997-11-13 20:39:47
